State,Current,Ever,Passed,Color,URL,State Name,2025 Bill Number,Nathan's Text,Covered Products,Legislation Prior to 2023,2023 Blue Text,Abbreviation,Scope,Signed Date,Effective Date,Applicable Date,Violation Penalty
Montana,1,1,,Current,https://montana.repair.org,Montana,"HB390, LC23251, LC3252, LC3473, LC3509, LC3791","HB 475 / SB 347 - cover farm equipment, HB 195 - covers powered wheelchairs.","In 2023, Montana is considering Right to Repair bills that cover farm equipment and powered wheelchairs:",,"This year, the people of Montana have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,"Farm Equipment, General",,1/1/2026,,
Nebraska,,1,,Historical,https://nebraska.repair.org,Nebraska,,,"However, in 2023, Nebraska is not considering any Right to Repair bills.",Nebraska has considered Right to Repair legislation in the past.,"This year, the people of Nebraska have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
Nevada,,1,,Historical,https://nevada.repair.org,Nevada,,,"However, in 2023, Nevada is not considering any Right to Repair bills.",Nevada has considered Right to Repair legislation in the past.,"This year, the people of Nevada have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
New Hampshire,,1,,Historical,https://newhampshire.repair.org,New Hampshire,,,,,"This year, the people of New Hampshire have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
New Jersey,1,1,,Current,https://newjersey.repair.org,New Jersey,"S3322, S1723, A3809","AB 1538 - covers everything but cars, AB 3612 - covers farm equipment and lawn mowers.","In 2023, New Jersey is considering Right to Repair bills that cover all electronics but cars, and farm equipment and lawn mowers:",,"This year, the people of New Jersey have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,"Farm Equipment, Digital Electronic Equipment",,,,"A manufacturer that violates any provision of P.L. , c. C. pending before the Legislature as this bill shall be subject to a civil penalty of not more than 500 for each offense."
New Mexico,1,,,Current,https://newmexico.repair.org,New Mexico,SB69,,"In 2023, New Mexico is not considering any Right to Repair bills.",,"This year, the people of New Mexico have a chance to guarantee their right to repair their stuff—like virtually anything with a computer chip—like smartphones, laptops, and household appliances. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,Digital Electronic Equipment,,1/1/2026,"7/1/2021 (Smartphones)
7/1/2015 (Digital Electronic Equipment)",
New York,1,1,1,Active and Passed,https://www.repair.org/newyork,New York,New York (2023),,"In 2023, New York is not considering any Right to Repair bills.","In 2022, New York passed the first-ever US digital Right to Repair legislation. Though the law included some unfortunate compromises that resulted from heavy manufacturer lobbying, it still raised the floor for repair legislation in the US. Manufacturers will soon be required to provide consumers and independent with the same parts, tools, and documentation for electronics they use in their own authorized shops.","In 2022, the people of New York passed  Right to Repair. The law applies to devices manufactured or first sold in the state as of 45108. Notably, the New York law excludes certain types of repairs like video game consoles and medical devices. We're pushing strong for New York to expand their right to repair to cover these devices and more! It’s yours. You own it. You shouldn’t have to beg the manufacturer for permission to fix it when it breaks. Tell your legislator that you want to epxand the right to repair. There are two easy ways to get in touch: call and write. We’ll track down your legislator’s contact info for you.",NY,Powered Wheelchairs,"December 28, 2022",12/28/2023,7/1/2023,$500 per violation
North Carolina,,1,,Historical,https://northcarolina.repair.org,North Carolina,,H752 - covers medical devices.,"In 2023, North Carolina is considering a Right to Repair bill that covers medical devices:",,"This year, the people of North Carolina have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
North Dakota,,1,,Historical,https://northdakota.repair.org,North Dakota,,,"However, in 2023, North Dakota is not considering any Right to Repair bills.",North Dakota has considered Right to Repair legislation in the past.,"This year, the people of North Dakota have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
Ohio,,1,,Historical,https://ohio.repair.org,Ohio,,"SB 273 - covers everything except cars, farm and forestry equipment and medical equipment.","In 2023, Ohio is considering a Right to Repair bill that covers all electronics but cars, farm and forestry equipment and medical equipment:",,"This year, the people of Ohio have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
Oklahoma,,1,,Historical,https://oklahoma.repair.org,Oklahoma,,SB869 - covers consumer devices.,"In 2023, Oklahoma is considering a Right to Repair bill that covers consumer devices:",,"This year, the people of Oklahoma have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
Oregon,1,1,1,Active and Passed,https://www.repair.org/oregon,Oregon,SB 1596,"SB542 - covers personal electronics / consumer devices, and has passed relevant committee.","In 2023, Oregon is considering a Right to Repair bill that covers personal electronics / consumer devices:",,"In 2024, the people of Oregon passed Right to Repair. This legislation ensures that residents can fix their stuff—everything from cell phones and laptops to appliances and more—without facing barriers imposed by manufacturers. The Oregon law applies to cellphones manufactured or first sold in the state as of July 1, 2021 and most other devices as of July 1, 2015. The law does not extend to medical devices, farm equipment, anything that runs on an internal combustion engine, and video game consoles. We continue to advocate for Oregon to broaden the scope of their legislation to include these excluded categories. Ownership implies autonomy. You should not have to request permission from the manufacturer to repair something you own when it malfunctions. We encourage you to continue voicing your support for the Right to Repair! Engage with your legislator by calling or writing in. We'll track down your legislator's contact info for you.",OR,Digital Electronic Equipment,"March 27, 2024",1/1/2025,"7/1/2021 (Cellphones)
7/1/2015 (Consumer Electronics)",$1000 per day
Pennsylvania,,1,,Historical,https://pennsylvania.repair.org,Pennsylvania,,"NEW - SB744 - covers all devices except cars, medical devices, and outdoor power, farming, yard and construction equipment.","In 2023, Pennsylvania is considering a Right to Repair bill that covers all devices except cars, medical devices, and outdoor power, farming, yard and construction equipment:",,"This year, the people of Pennsylvania have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
Rhode Island,1,1,,Current,https://rhodeisland.repair.org,Rhode Island,"H5017, SB 60, H5159, H5246",,"However, in 2023, Rhode Island is not considering any Right to Repair bills.",Rhode Island has considered Right to Repair legislation in the past.,"This year, the people of Rhode Island have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,"Powered Wheelchairs, Digital Electronic Equipment, Farm Equipment",,1/10/2025,"Manufacturers must provide parts and documentation on fair and reasonable terms, which means at costs and terms equivalent to those offered to authorized repair providers. Documentation must be available at no charge unless requested in physical form.",A violation of the provisions of this section shall constitute a deceptive trade practice in violation of the provisions of chapter 13.1 of title 6 and the attorney general acting in the name of the state may petition for recovery of civil penalties and/or equitable relief.
South Carolina,,1,,Historical,https://southcarolina.repair.org,South Carolina,,,"However, in 2023, South Carolina is not considering any Right to Repair bills.",South Carolina has considered Right to Repair legislation in the past.,"This year, the people of South Carolina have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
South Dakota,1,1,,Current,https://southdakota.repair.org,South Dakota,HB 1151,"SB 194 covers all but medical, excluded cars. Failed in committee.","In 2023, South Dakota is considering a Right to Repair bill that covers all electronics but medical devices and cars:",,"This year, the people of South Dakota have a chance to guarantee their right to repair their stuff—like tractors and harvesters. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,Farm Equipment,,,,
Tennessee,1,1,,Current,https://tennessee.repair.org,Tennessee,"HB0432, SB0499",SB0077 - covers powered wheelchairs.,"In 2023, Tennessee is considering a Right to Repair bill that covers powered wheelchairs:",,"This year, the people of Tennessee have a chance to guarantee their right to repair their stuff—like tractors and harvesters. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,Farm Equipment,,7/1/2025,7/1/2015,"A violation of 47185803 constitutes a violation of the Tennessee Consumer Protection Act of 1977, compiled in part 1 of this chapter. A violation of 47185803 constitutes an unfair or deceptive act or practice affecting trade or commerce and is subject to the penalties and remedies as provided in part 1 of this chapter."
Texas,1,1,,Current,https://texas.repair.org,Texas,HB 2963,"HB 515 / SB 1654 cover farm and heavy equipment, HB 1606 - covers everything but cars. Did not advance.","In 2023, Texas is considering Right to Repair bills that cover farm and heavy equipment, and all electronics but cars:",,"This year, the people of Texas have a chance to guarantee their right to repair their stuff—like virtually anything with a computer chip—like smartphones, laptops, and household appliances. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,Digital Electronic Equipment,,9/1/2026,9/1/2026,"A violation of this chapter following the cure period is a deceptive trade practice and is actionable under Subchapter E, Chapter 17."
Utah,,1,,Historical,https://utah.repair.org,Utah,,,"In 2023, Utah is not considering any Right to Repair bills.",,"This year, the people of Utah have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
Vermont,1,1,,Current,https://vermont.repair.org,Vermont,"H0160, H0161","H. 81 - covers farm equipment and has passed the full House, and H. 79 / S. 46 - covers all equipment but cars and medical devices.","In 2023, Vermont is considering Right to Repair bills that cover farm equipment and all equipment but cars and medical devices.",,"This year, the people of Vermont have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,Medical Devices,,7/1/2025,,A person who violates a provision of this subchapter commits an unfair and deceptive act in trade and commerce in violation of section 2453 of this title.
Virginia,1,1,,Current,https://virginia.repair.org,Virginia,HB 2483,,"However, in 2023, Virginia is not considering any Right to Repair bills.",Virginia has considered Right to Repair legislation in the past.,"This year, the people of Virginia have a chance to guarantee their right to repair their stuff—like virtually anything with a computer chip—like smartphones, laptops, and household appliances. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,Digital Electronic Equipment,,7/1/2025,1/1/2026,Any violation of the provisions of this chapter shall constitute a prohibited practice pursuant to the provisions of  59.1200 and shall be subject to any and all of the enforcement provisions of the Virginia Consumer Protection Act.
Washington,1,1,,Current,https://washington.repair.org,Washington,"HB1483, SB5423, HB1826, SB5680","SB5464 / HB1392 - cover laptops, tablets and cell phones. Passed House.","In 2023, Washington is considering Right to Repair bills that cover laptops, tablets and cell phones:",,"This year, the people of Washington have a chance to guarantee their right to repair their stuff— cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,"Digital Electronic Equipment, Powered Wheelchairs",,1/1/2026,7/1/2021,"A violation of this chapter is not reasonable in relation to the development and preservation of business and is an unfair or deceptive act in trade or commerce and an unfair method of competition for the purpose of applying the consumer protection act, chapter 19.86 RCW."
West Virginia,1,1,,Current,https://westvirginia.repair.org,West Virginia,"HB2373, SB242, HB2155","HB 3384 . SB 738 - cover farm equipment, passed the Senate","In 2023, West Virginia is considering Right to Repair bills that cover farm equipment:",,"This year, the people of West Virginia have a chance to guarantee their right to repair their stuff—like tractors and harvesters. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,Farm Equipment,,7/1/2025,7/1/2025,"A civil penalty of not less than 1,000 for each violation. Each day a violation continues after notice by the commissioner constitutes a separate violation."
Wisconsin,1,,,Current,https://wisconsin.repair.org,Wisconsin,TBD,,"In 2023, Wisconsin is not considering any Right to Repair bills.",,"This year, the people of Wisconsin have a chance to guarantee their right to repair their stuff—like tractors and harvesters. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,Farm Equipment,,,,
Wyoming,,1,,Historical,https://wyoming.repair.org,Wyoming,,,"However, in 2023, Wyoming is not considering any Right to Repair bills.",Wyoming has considered Right to Repair legislation in the past.,"This year, the people of Wyoming have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,